;Overig;Temperatuur;Overig;Overig;Vochtigheid;Overig;Luchtflow;Luchtflow;Overig;Overig;Overig;Overig;Overig;Temperatuur;Temperatuur;Overig;Temperatuur;Overig;Overig;Overig;Overig;Overig;Overig;Efficiëntie;Energie;Temperatuur;Temperatuur;Overig;Overdruk;Temperatuur;Cascade;Overig;Vochtigheid;Sproeinozzles;Temperatuur;Temperatuur;Vochtigheid;Water;Temperatuur;Cascade;Cascade;Cascade;Energie;Cascade;Efficiëntie;Energie;Overig;Efficiëntie;Energie;Efficiëntie;Toevoer;Energie;Energie
;wind__m_s_1;temp_outdoor__degC;sol_ghi__W_m_2;Air_outdoor__Pa;humidity_outdoor_rel__0;occupancy__perc;air_flow_office_set__m3_s_1;air_flow_office__m3_s_1;tijd met tijdzone;azimut;elevatie;instralingsfactor;solar_chimney__W_m_2;temp_air_chimney_out__degC;temp_air_chimney_average__degC;chimney_draft__Pa;temp_air_heat_recovery_in__degC;wind_ventec_inflow__m_s_1;wind_venturi_accelerated__m_s_1;ejector__m_s_1;wind_venturi_pressure_coefficient__0;venturi_draft__Pa;exhaust_fan__Pa;eta_fan_exh__W0;e_fan_exh__W;temp_overpressure_in__degC;temp_overpressure_out__degC;wind_overpressure_inflow__m_s_1;overpressure_room_gain__Pa;temp_air_cascade_in__degC;cascade_air__m_s_1;total_droplet_velocity__m_s_1;humidity_cascade_in_abs__gr_kg_1;nozzles__0;temp_air_cascade_out__degC;temp_water_cascade_out__degC;humidity_cascade_out_abs__gr_kg_1;water_cascade__kg_s_1;temp_air_cascade_average__degC;cascade_gain_hydro__Pa;cascade_gain_therm__Pa;cascade_gain__Pa;e_cascade_water_pump__W;cascade_heat_pump_is_heating__sign;cop_cascade_heat_pump__W0;e_cascade_heat_pump__W;post_cascade_heat_pump_is_heating__sign;cop_post_cascade_heat_pump__W0;e_post_cascade_heat_pump__W;eta_fan_supply__W0;supply_fan__Pa;e_fan_supply__W;e__ewf_total__W
0;8,0;8,3;0,0;101560,0;0,8200000000000001;0;0,0;3,75;2023-01-01 00:00:00+01:00;339,93115025399686;-59,50300179710064;0,0;0,0;20,85047395599476;20,92523697799738;6,25379198601932;20,85047395599476;4,679099088320048;5,84887386040006;0,51440329218107;-0,6683177051776049;-13,774775466859923;79,97143254712076;0,4;749,7321801292571;8,3;8,3;8,187438541115606;32,31046023471081;14,575236977997381;1,1111111111111112;2,284932111111111;5,7191635613307055;1,0;13,167735961125809;10,965178226443815;6,621909358468552;0,7;13,402319463937737;10,609076107245393;2,6114925948163554;13,220568702061748;169,75125066666666;1,0;4,5;1324,3524467536345;1,0;4,5;4886,365261676087;0,4;104,46897106322746;979,3966037177574;8109,597742943403
1;8,0;8,6;0,0;101510,0;0,79;0;0,0;3,75;2023-01-01 01:00:00+01:00;7,655500471787946;-60,499481574734915;0,0;0,0;20,854099268102043;20,927049634051023;6,099548500412318;20,854099268102043;4,679099088320048;5,84887386040006;0,51440329218107;-0,6683177051776049;-13,774775466859923;80,12567603272777;0,4;751,1782128068228;8,6;8,6;8,187438541115606;32,31046023471081;14,72704963405102;1,1111111111111112;2,284932111111111;5,6174939435762585;1,0;13,237850562082272;10,938254119580183;6,548455885781798;0,7;13,486050407410396;10,609076107245393;2,4974082397109196;13,106484346956313;169,75125066666666;1,0;4,5;1341,8758521274578;1,0;4,5;4815,465669333082;0,4;104,58305541833289;980,4661445468709;8058,737129480899
2;9,0;8,6;0,0;101410,0;0,79;0;0,0;3,75;2023-01-01 02:00:00+01:00;33,77473316615166;-57,232065568494875;0,0;0,0;20,854099268102026;20,927049634051013;6,099548500412318;20,854099268102026;5,2639864743600535;6,579983092950067;0,51440329218107;-0,7316143085393453;-19,08485203739234;74,81559946219535;0,4;701,3962449580813;8,6;8,6;9,210868358755057;40,89292623455587;14,727049634051014;1,1111111111111112;2,284932111111111;5,6174939435762585;1,0;13,237850562082269;10,938254119580177;6,548455885781798;0,7;13,486050407410392;10,609076107245393;2,4974082397109196;13,106484346956313;169,75125066666666;1,0;4,5;1341,8758521274613;1,0;4,5;4815,465669333086;0,4;96,00058941848782;900,0055257983232;7928,494542883618
3;9,0;8,6;0,0;101330,0;0,77;0;0,0;3,75;2023-01-01 03:00:00+01:00;54,72273118375952;-50,82434192178988;0,0;0,0;20,854099268102026;20,927049634051013;6,099548500412318;20,854099268102026;5,2639864743600535;6,579983092950067;0,51440329218107;-0,7316143085393453;-19,08485203739234;74,81559946219535;0,4;701,3962449580813;8,6;8,6;9,210868358755057;40,89292623455587;14,727049634051014;1,1111111111111112;2,284932111111111;5,475278907030024;1,0;13,206535835254309;10,840382347855614;6,439872497932555;0,7;13,459954801720425;10,609076107245393;2,4842961584311367;13,09337226567653;169,75125066666666;1,0;4,5;1405,575151022328;1,0;4,5;4847,13099062349;0,4;96,01370149976759;900,1284515603211;8023,982088830887
4;10,0;8,700000000000001;0,0;101280,0;0,77;0;0,0;3,75;2023-01-01 04:00:00+01:00;71,05916473306361;-42,67546698589888;0,0;0,0;20,855307214308187;20,92765360715409;6,048207260126499;20,855307214308187;5,84887386040006;7,311092325500075;0,51440329218107;-0,7882350496538612;-25,3850094890631;68,5667832508104;0,4;642,8135929763474;8,700000000000001;8,700000000000001;10,234298176394507;50,48509411673563;14,777653607154093;1,1111111111111112;2,284932111111111;5,510619964534844;1,0;13,24513803287949;10,879039295468019;6,468247956024879;0,7;13,50055729525859;10,609076107245393;2,4527154156367943;13,061791522882187;169,75125066666666;1,0;4,5;1380,4154914296148;1,0;4,5;4808,0966092273975;0,4;86,45311436038217;810,4979471285828;7811,57489142861
5;9,0;8,6;0,0;101160,0;0,76;0;0,0;3,75;2023-01-01 05:00:00+01:00;84,48462596119768;-33,73727926829257;0,0;0,0;20,854099268102008;20,927049634051002;6,099548500412318;20,854099268102008;5,2639864743600535;6,579983092950067;0,51440329218107;-0,7316143085393453;-19,08485203739234;74,81559946219535;0,4;701,3962449580813;8,6;8,6;9,210868358755057;40,89292623455587;14,727049634051003;1,1111111111111112;2,284932111111111;5,404171388756907;1,0;13,190867290600801;10,791395841822164;6,385591773526856;0,7;13,446897681175834;10,609076107245393;2,4777345397132944;13,086810646958687;169,75125066666666;1,0;4,5;1437,4577463269438;1,0;4,5;4862,974957691515;0,4;96,02026311848545;900,189966735801;8071,770166379007
6;9,0;8,4;0,0;101090,0;0,76;0;0,0;3,75;2023-01-01 06:00:00+01:00;96,34596559611072;-24,59207283381258;0,10050576140409498;0,0;20,851682636847386;20,925841318423693;6,202340823771268;20,851682636847386;5,2639864743600535;6,579983092950067;0,51440329218107;-0,7316143085393453;-19,08485203739234;74,7128071388364;0,4;700,4325669265912;8,4;8,4;9,210868358755057;40,89292623455587;14,625841318423692;1,1111111111111112;2,284932111111111;5,334989648133623;1,0;13,113993408340294;10,71503538471633;6,330007806607642;0,7;13,36596806002086;10,609076107245393;2,5411241999232006;13,150200307168593;169,75125066666666;1,0;4,5;1487,1565256095137;1,0;4,5;4940,709507125497;0,4;95,95687345827554;899,595688671333;8197,6455389996
7;10,0;8,5;0,0;101030,0;0,75;0;0,0;3,75;2023-01-01 07:00:00+01:00;107,54953984763941;-15,63955998407883;0,2903666439705363;0,0;20,85289107490788;20,92644553745394;6,150926341772148;20,85289107490788;5,84887386040006;7,311092325500075;0,51440329218107;-0,7882350496538612;-25,3850094890631;68,46406416916474;0,4;641,8506015859194;8,5;8,5;10,234298176394507;50,48509411673563;14,67644553745394;1,1111111111111112;2,284932111111111;5,2988326481233;1,0;13,136832818141713;10,704431176143794;6,3038037572620045;0,7;13,393434938027083;10,609076107245393;2,502879452909688;13,111955560155081;169,75125066666666;1,0;4,5;1494,0582158466789;1,0;4,5;4917,614391098509;0,4;86,40295032310928;810,0276592791495;8033,302118476923
8;11,0;8,3;8,333333333333332;101000,0;0,76;60;12,0;12,0;2023-01-01 08:00:00+01:00;118,71923166167393;-7,205120956964407;0,4767234778591234;3,972695648826028;20,961156246558062;20,98057812327903;6,280022881200066;20,961156246558062;6,433761246440066;8,042201558050083;1,646090534979424;-0,21437749509113257;-8,353839945228094;85,36613717357184;0,5760000000000001;1778,46119111608;8,3;8,3;11,25772799403396;61,08696388125015;14,630578123279031;3,5555555555555554;4,729376555555556;5,300688178794313;10,0;13,35916246454929;11,673050159251034;6,853071263012575;7,0;13,571065074337579;51,2562668290622;2,696272960946629;53,95253979000883;1697,5125066666667;1,0;4,5;8636,379319079051;1,0;4,5;15016,945852879024;0,5760000000000001;34,96049632874103;728,343673515438;27857,642543256257
