STN;YYYYMMDD;HH;FH;T;Q;P;U
260;20220101;1;40;111;0;10224;93
260;20220101;2;40;114;0;10228;94
260;20220101;3;40;120;0;10226;93
260;20220101;4;30;119;0;10226;93
260;20220101;5;30;117;0;10226;94
260;20220101;6;30;117;0;10222;92
260;20220101;7;30;116;0;10226;92
260;20220101;8;40;123;1;10227;87
260;20220101;9;50;123;14;10228;86
260;20220101;10;50;121;27;10222;87
260;20220101;11;40;123;38;10221;87
260;20220101;12;40;130;53;10215;85
260;20220101;13;40;131;38;10210;84
260;20220101;14;40;130;36;10208;85
260;20220101;15;40;130;11;10204;84
260;20220101;16;40;127;2;10199;85
260;20220101;17;40;128;0;10196;85
260;20220101;18;40;124;0;10188;86
260;20220101;19;40;125;0;10186;84
260;20220101;20;50;127;0;10188;82
260;20220101;21;40;126;0;10180;82
260;20220101;22;40;126;0;10176;80
260;20220101;23;40;120;0;10172;83
260;20220101;24;40;118;0;10171;84
260;20220102;1;50;113;0;10165;91
260;20220102;2;40;116;0;10154;91
260;20220102;3;50;127;0;10145;85
260;20220102;4;60;127;0;10138;86
260;20220102;5;60;123;0;10132;90
260;20220102;6;60;119;0;10118;87
260;20220102;7;60;120;0;10106;84
260;20220102;8;70;122;1;10106;85
260;20220102;9;70;120;5;10104;84
260;20220102;10;70;123;34;10103;80
260;20220102;11;80;121;22;10104;83
260;20220102;12;60;126;18;10105;82
260;20220102;13;70;127;32;10104;77
260;20220102;14;70;122;46;10111;77
260;20220102;15;50;114;9;10110;83
260;20220102;16;60;112;3;10107;83
260;20220102;17;50;113;0;10104;84
260;20220102;18;50;113;0;10095;83
260;20220102;19;50;108;0;10085;88
260;20220102;20;50;107;0;10075;92
260;20220102;21;70;113;0;10080;80
260;20220102;22;80;106;0;10092;81
260;20220102;23;80;105;0;10099;81
260;20220102;24;70;105;0;10103;82
260;20220103;1;60;102;0;10104;81
260;20220103;2;60;97;0;10105;83
260;20220103;3;60;96;0;10106;85
260;20220103;4;60;98;0;10105;85
260;20220103;5;60;100;0;10103;85
260;20220103;6;60;101;0;10100;85
260;20220103;7;60;100;0;10097;85
260;20220103;8;60;99;1;10097;85
260;20220103;9;70;100;8;10098;85
260;20220103;10;70;100;28;10095;84
260;20220103;11;70;107;55;10093;82
260;20220103;12;60;102;39;10085;83
260;20220103;13;60;105;23;10080;81
260;20220103;14;60;101;11;10073;82
260;20220103;15;60;99;13;10069;80
260;20220103;16;50;96;2;10066;82
260;20220103;17;50;93;0;10060;83
260;20220103;18;50;90;0;10053;86
260;20220103;19;40;89;0;10045;88
260;20220103;20;50;89;0;10040;89
260;20220103;21;40;89;0;10034;90
260;20220103;22;40;90;0;10029;90
260;20220103;23;40;89;0;10022;90
260;20220103;24;40;89;0;10014;90
260;20220104;1;40;87;0;10003;90
260;20220104;2;40;86;0;9996;90
260;20220104;3;40;83;0;9987;91
260;20220104;4;40;84;0;9975;91
260;20220104;5;40;81;0;9969;91
260;20220104;6;40;81;0;9963;92
260;20220104;7;40;80;0;9957;92
260;20220104;8;40;81;0;9955;92
260;20220104;9;40;82;4;9960;91
260;20220104;10;40;80;15;9959;94
260;20220104;11;30;85;21;9957;91
260;20220104;12;40;80;32;9962;84
260;20220104;13;40;69;47;9967;85
260;20220104;14;40;60;14;9968;80
260;20220104;15;30;60;19;9973;78
260;20220104;16;20;57;3;9981;83
260;20220104;17;20;59;0;9983;70
260;20220104;18;20;55;0;9985;74
260;20220104;19;30;35;0;9991;83
260;20220104;20;20;38;0;9992;85
260;20220104;21;20;41;0;9991;81
260;20220104;22;20;41;0;9997;77
260;20220104;23;20;33;0;10001;80
260;20220104;24;30;32;0;10002;78
260;20220105;1;30;34;0;10004;77
260;20220105;2;40;36;0;10005;71
260;20220105;3;40;33;0;10006;72
260;20220105;4;40;34;0;10008;75
260;20220105;5;50;41;0;10011;74
260;20220105;6;50;44;0;10014;76
260;20220105;7;60;45;0;10016;81
260;20220105;8;70;47;1;10022;85
260;20220105;9;70;48;3;10027;89
260;20220105;10;60;55;7;10036;89
260;20220105;11;60;60;12;10043;88
260;20220105;12;60;65;20;10050;85
260;20220105;13;60;69;28;10057;84
260;20220105;14;60;71;38;10064;84
260;20220105;15;50;69;8;10075;84
260;20220105;16;40;69;2;10085;83
260;20220105;17;40;68;0;10096;81
260;20220105;18;30;59;0;10105;80
260;20220105;19;40;56;0;10117;83
260;20220105;20;20;47;0;10123;86
260;20220105;21;30;50;0;10129;75
260;20220105;22;20;45;0;10134;78
260;20220105;23;20;35;0;10142;84
260;20220105;24;30;40;0;10148;79
260;20220106;1;20;36;0;10152;78
260;20220106;2;20;32;0;10160;81
260;20220106;3;20;30;0;10163;84
260;20220106;4;20;15;0;10165;91
260;20220106;5;30;17;0;10170;90
260;20220106;6;20;5;0;10175;94
260;20220106;7;20;-8;0;10181;97
260;20220106;8;20;29;2;10184;86
260;20220106;9;20;29;19;10189;88
260;20220106;10;20;47;49;10191;79
260;20220106;11;30;58;72;10190;75
260;20220106;12;30;61;56;10189;76
260;20220106;13;40;62;58;10182;76
260;20220106;14;40;61;32;10181;75
260;20220106;15;40;55;29;10178;79
260;20220106;16;30;44;3;10179;81
260;20220106;17;30;41;0;10178;82
260;20220106;18;40;38;0;10172;82
260;20220106;19;50;39;0;10165;80
260;20220106;20;50;39;0;10160;79
260;20220106;21;60;40;0;10153;79
260;20220106;22;50;39;0;10144;79
260;20220106;23;50;40;0;10137;76
260;20220106;24;60;37;0;10130;78
260;20220107;1;60;30;0;10120;87
260;20220107;2;50;29;0;10114;92
260;20220107;3;50;30;0;10106;91
260;20220107;4;50;28;0;10101;93
260;20220107;5;50;33;0;10094;94
260;20220107;6;50;43;0;10094;93
260;20220107;7;50;47;0;10094;93
260;20220107;8;50;49;1;10093;91
260;20220107;9;50;48;6;10093;89
260;20220107;10;60;55;46;10091;86
260;20220107;11;60;57;49;10089;83
260;20220107;12;60;66;39;10088;78
260;20220107;13;60;53;17;10086;77
260;20220107;14;50;44;6;10084;76
260;20220107;15;50;36;3;10084;81
260;20220107;16;40;36;4;10083;83
260;20220107;17;40;37;0;10086;81
260;20220107;18;30;34;0;10084;81
260;20220107;19;30;32;0;10085;84
260;20220107;20;20;26;0;10087;85
260;20220107;21;30;30;0;10089;79
260;20220107;22;20;18;0;10090;89
260;20220107;23;30;14;0;10092;92
260;20220107;24;20;8;0;10095;95
260;20220108;1;20;4;0;10098;93
260;20220108;2;20;-15;0;10098;97
260;20220108;3;10;-18;0;10100;95
260;20220108;4;20;-18;0;10100;95
260;20220108;5;20;5;0;10104;92
260;20220108;6;20;3;0;10106;91
260;20220108;7;30;11;0;10104;90
260;20220108;8;30;14;2;10102;92
260;20220108;9;30;20;6;10096;90
260;20220108;10;40;23;17;10088;91
260;20220108;11;50;29;28;10075;88
260;20220108;12;50;33;36;10057;87
260;20220108;13;60;36;17;10032;88
260;20220108;14;70;35;14;10012;91
260;20220108;15;70;38;5;9989;93
260;20220108;16;70;42;1;9969;94
260;20220108;17;70;47;0;9946;94
260;20220108;18;70;54;0;9926;93
260;20220108;19;80;58;0;9913;94
260;20220108;20;60;58;0;9899;95
260;20220108;21;50;59;0;9887;97
260;20220108;22;40;59;0;9878;96
260;20220108;23;20;58;0;9877;98
260;20220108;24;20;62;0;9879;96
260;20220109;1;50;69;0;9890;89
260;20220109;2;60;69;0;9904;82
260;20220109;3;50;68;0;9919;82
260;20220109;4;60;63;0;9929;80
260;20220109;5;50;60;0;9940;81
260;20220109;6;50;55;0;9952;82
260;20220109;7;50;53;0;9963;79
260;20220109;8;30;50;1;9972;78
260;20220109;9;30;54;13;9981;80
260;20220109;10;30;65;35;9989;76
260;20220109;11;50;60;57;9995;74
260;20220109;12;40;71;67;10002;74
260;20220109;13;40;75;96;10006;70
260;20220109;14;50;67;50;10014;72
260;20220109;15;40;64;23;10022;76
260;20220109;16;30;54;5;10030;81
260;20220109;17;20;40;0;10039;88
260;20220109;18;20;34;0;10047;89
260;20220109;19;20;29;0;10057;91
260;20220109;20;20;27;0;10065;92
260;20220109;21;10;6;0;10075;98
260;20220109;22;20;-4;0;10085;98
260;20220109;23;10;-10;0;10093;98
260;20220109;24;20;-14;0;10102;98
260;20220110;1;20;-16;0;10111;98
260;20220110;2;20;-13;0;10119;98
260;20220110;3;10;-21;0;10130;98
260;20220110;4;20;-9;0;10139;98
260;20220110;5;20;4;0;10151;98
260;20220110;6;20;8;0;10160;98
260;20220110;7;10;12;0;10172;96
260;20220110;8;20;17;1;10185;96
260;20220110;9;10;20;10;10196;95
260;20220110;10;20;25;23;10207;93
260;20220110;11;20;35;42;10217;92
260;20220110;12;20;49;69;10223;88
260;20220110;13;20;60;82;10229;82
260;20220110;14;30;68;64;10236;77
260;20220110;15;20;57;34;10245;84
260;20220110;16;20;44;6;10254;84
260;20220110;17;20;30;0;10263;89
260;20220110;18;30;23;0;10274;93
260;20220110;19;30;4;0;10282;98
260;20220110;20;30;-3;0;10290;99
260;20220110;21;30;1;0;10292;99
260;20220110;22;30;1;0;10293;99
260;20220110;23;30;-1;0;10299;99
260;20220110;24;30;3;0;10299;98
260;20220111;1;30;3;0;10301;98
260;20220111;2;30;4;0;10302;98
260;20220111;3;30;2;0;10306;98
260;20220111;4;40;4;0;10307;97
260;20220111;5;40;6;0;10309;97
260;20220111;6;40;5;0;10313;96
260;20220111;7;40;3;0;10316;95
260;20220111;8;40;3;3;10321;94
260;20220111;9;40;5;11;10322;93
260;20220111;10;30;8;22;10325;91
260;20220111;11;30;22;32;10327;85
260;20220111;12;40;36;39;10327;79
260;20220111;13;30;48;85;10323;74
260;20220111;14;30;47;39;10323;76
260;20220111;15;30;50;28;10324;78
260;20220111;16;30;42;8;10328;80
260;20220111;17;30;44;0;10333;76
260;20220111;18;30;35;0;10336;79
260;20220111;19;20;29;0;10338;83
260;20220111;20;20;35;0;10344;80
260;20220111;21;20;36;0;10345;84
260;20220111;22;20;30;0;10349;95
260;20220111;23;20;30;0;10348;96
260;20220111;24;20;31;0;10354;98
260;20220112;1;20;33;0;10355;98
260;20220112;2;20;34;0;10357;98
260;20220112;3;10;36;0;10366;98
260;20220112;4;10;36;0;10370;98
260;20220112;5;10;37;0;10369;99
260;20220112;6;10;34;0;10373;99
260;20220112;7;10;36;0;10381;99
260;20220112;8;10;39;1;10388;99
260;20220112;9;10;37;7;10397;98
260;20220112;10;10;40;17;10404;98
260;20220112;11;10;45;40;10402;93
260;20220112;12;10;48;51;10400;92
260;20220112;13;20;49;52;10400;92
260;20220112;14;20;47;29;10401;92
260;20220112;15;20;45;17;10399;94
260;20220112;16;20;43;5;10403;98
260;20220112;17;20;42;0;10401;99
260;20220112;18;20;47;0;10407;98
260;20220112;19;30;46;0;10410;98
260;20220112;20;30;44;0;10410;98
260;20220112;21;30;40;0;10413;99
260;20220112;22;30;38;0;10411;99
260;20220112;23;30;38;0;10411;99
260;20220112;24;30;35;0;10411;99
260;20220113;1;20;34;0;10412;99
260;20220113;2;30;35;0;10411;99
260;20220113;3;30;36;0;10406;99
260;20220113;4;30;37;0;10405;99
260;20220113;5;30;39;0;10405;99
260;20220113;6;30;40;0;10405;99
260;20220113;7;30;39;0;10406;99
260;20220113;8;30;40;1;10408;99
260;20220113;9;30;40;7;10409;99
260;20220113;10;30;45;15;10410;99
260;20220113;11;30;46;25;10409;99
260;20220113;12;30;49;23;10404;99
260;20220113;13;40;47;23;10399;99
260;20220113;14;40;48;21;10396;98
260;20220113;15;30;48;12;10396;98
260;20220113;16;30;49;4;10395;99
260;20220113;17;20;52;0;10395;98
260;20220113;18;30;52;0;10391;98
260;20220113;19;30;51;0;10388;98
260;20220113;20;30;46;0;10386;98
260;20220113;21;30;45;0;10386;98
260;20220113;22;30;44;0;10382;99
260;20220113;23;30;39;0;10379;99
260;20220113;24;30;39;0;10376;99
260;20220114;1;30;38;0;10370;99
260;20220114;2;30;36;0;10368;99
260;20220114;3;20;35;0;10366;99
260;20220114;4;30;33;0;10363;99
260;20220114;5;30;33;0;10357;99
260;20220114;6;20;33;0;10355;99
260;20220114;7;20;32;0;10357;98
260;20220114;8;20;35;1;10358;98
260;20220114;9;20;38;6;10361;98
260;20220114;10;10;43;14;10360;96
260;20220114;11;10;49;22;10362;96
260;20220114;12;10;54;23;10358;95
260;20220114;13;10;57;22;10356;95
260;20220114;14;10;60;20;10353;93
260;20220114;15;10;59;10;10353;96
260;20220114;16;0;59;3;10350;94
260;20220114;17;10;58;0;10353;92
260;20220114;18;10;57;0;10350;93
260;20220114;19;10;55;0;10349;94
260;20220114;20;10;53;0;10342;94
260;20220114;21;10;50;0;10342;97
260;20220114;22;10;47;0;10339;98
260;20220114;23;10;45;0;10334;98
260;20220114;24;10;43;0;10331;99
260;20220115;1;20;40;0;10326;99
260;20220115;2;20;37;0;10322;99
260;20220115;3;20;37;0;10315;99
260;20220115;4;30;33;0;10309;98
