STN;YYYYMMDD;HH;FH;T;Q;P;U
240;20230101;1;110;138;0;10057;73
240;20230101;2;110;139;0;10060;69
240;20230101;3;120;143;0;10065;68
240;20230101;4;120;134;0;10072;72
240;20230101;5;120;122;0;10083;73
240;20230101;6;110;123;0;10091;74
240;20230101;7;100;118;0;10100;78
240;20230101;8;100;114;0;10115;78
240;20230101;9;100;118;6;10120;74
240;20230101;10;90;117;29;10126;76
240;20230101;11;80;124;58;10130;74
240;20230101;12;90;126;49;10134;74
240;20230101;13;90;123;35;10134;76
240;20230101;14;80;122;26;10133;74
240;20230101;15;60;113;14;10132;83
240;20230101;16;50;115;1;10133;83
240;20230101;17;50;112;0;10129;84
240;20230101;18;50;117;0;10124;80
240;20230101;19;60;108;0;10119;92
240;20230101;20;50;106;0;10118;97
240;20230101;21;40;105;0;10107;98
240;20230101;22;50;106;0;10096;97
240;20230101;23;50;105;0;10094;98
240;20230101;24;40;109;0;10086;96
240;20230102;1;60;111;0;10083;97
240;20230102;2;50;110;0;10079;98
240;20230102;3;50;110;0;10077;98
240;20230102;4;60;114;0;10079;98
240;20230102;5;70;99;0;10086;97
240;20230102;6;60;89;0;10103;97
240;20230102;7;50;86;0;10115;96
240;20230102;8;50;88;0;10130;95
240;20230102;9;60;89;5;10142;90
240;20230102;10;50;90;14;10147;88
240;20230102;11;60;98;33;10151;86
240;20230102;12;60;98;42;10156;85
240;20230102;13;60;97;26;10160;87
240;20230102;14;60;89;8;10167;93
240;20230102;15;50;84;11;10177;89
240;20230102;16;50;82;4;10189;87
240;20230102;17;40;59;0;10199;92
240;20230102;18;40;61;0;10207;89
240;20230102;19;40;62;0;10216;87
240;20230102;20;30;59;0;10224;85
240;20230102;21;40;53;0;10229;87
240;20230102;22;30;47;0;10235;88
240;20230102;23;30;21;0;10244;92
240;20230102;24;40;32;0;10249;91
240;20230103;1;20;10;0;10250;95
240;20230103;2;20;11;0;10255;97
240;20230103;3;10;17;0;10254;97
240;20230103;4;30;16;0;10252;97
240;20230103;5;20;11;0;10255;99
240;20230103;6;30;23;0;10253;99
240;20230103;7;20;30;0;10252;98
240;20230103;8;30;41;0;10250;97
240;20230103;9;40;54;7;10251;96
240;20230103;10;60;60;14;10251;97
240;20230103;11;60;72;22;10251;95
240;20230103;12;60;78;18;10244;93
240;20230103;13;70;82;21;10240;91
240;20230103;14;70;83;30;10234;88
240;20230103;15;70;82;15;10231;89
240;20230103;16;70;83;2;10227;88
240;20230103;17;70;78;0;10224;90
240;20230103;18;70;82;0;10216;88
240;20230103;19;80;85;0;10212;87
240;20230103;20;90;88;0;10202;85
240;20230103;21;100;90;0;10193;84
240;20230103;22;110;93;0;10183;84
240;20230103;23;110;88;0;10173;93
240;20230103;24;110;90;0;10158;94
240;20230104;1;110;92;0;10144;96
240;20230104;2;110;100;0;10140;95
240;20230104;3;120;109;0;10138;93
240;20230104;4;120;109;0;10133;95
240;20230104;5;130;117;0;10124;92
240;20230104;6;130;116;0;10122;94
240;20230104;7;130;119;0;10118;92
240;20230104;8;140;117;0;10114;95
240;20230104;9;140;120;2;10119;94
240;20230104;10;150;124;8;10120;91
240;20230104;11;140;125;18;10118;92
240;20230104;12;130;128;21;10115;88
240;20230104;13;140;130;36;10114;84
240;20230104;14;130;130;26;10113;83
240;20230104;15;130;130;11;10115;81
240;20230104;16;120;129;1;10112;79
240;20230104;17;130;125;0;10118;78
240;20230104;18;120;122;0;10123;81
240;20230104;19;130;118;0;10122;83
240;20230104;20;130;118;0;10128;81
240;20230104;21;130;114;0;10134;81
240;20230104;22;120;108;0;10140;84
240;20230104;23;110;105;0;10143;85
240;20230104;24;100;102;0;10149;84
240;20230105;1;90;102;0;10151;84
240;20230105;2;100;104;0;10156;86
240;20230105;3;100;106;0;10158;85
240;20230105;4;100;106;0;10161;85
240;20230105;5;90;103;0;10162;87
240;20230105;6;90;103;0;10170;87
240;20230105;7;80;101;0;10178;87
240;20230105;8;80;102;0;10182;87
240;20230105;9;70;104;6;10191;86
240;20230105;10;70;107;18;10196;85
240;20230105;11;70;108;28;10197;84
240;20230105;12;70;115;60;10196;82
240;20230105;13;60;111;65;10196;85
240;20230105;14;60;110;25;10194;86
240;20230105;15;60;104;11;10194;92
240;20230105;16;50;98;2;10189;97
240;20230105;17;50;98;0;10186;98
240;20230105;18;50;102;0;10180;98
240;20230105;19;60;106;0;10176;96
240;20230105;20;60;107;0;10176;96
240;20230105;21;60;110;0;10172;93
240;20230105;22;70;110;0;10169;92
240;20230105;23;90;107;0;10168;93
240;20230105;24;80;107;0;10162;90
240;20230106;1;90;106;0;10159;89
240;20230106;2;80;106;0;10154;89
240;20230106;3;80;105;0;10143;87
240;20230106;4;80;107;0;10137;84
240;20230106;5;90;107;0;10130;86
240;20230106;6;110;100;0;10130;96
240;20230106;7;100;101;0;10137;91
240;20230106;8;80;90;0;10149;85
240;20230106;9;50;91;16;10157;85
240;20230106;10;60;97;48;10163;83
240;20230106;11;60;101;69;10168;77
240;20230106;12;70;101;54;10164;80
240;20230106;13;70;101;45;10163;77
240;20230106;14;60;102;34;10161;72
240;20230106;15;50;97;14;10160;76
240;20230106;16;50;87;2;10160;83
240;20230106;17;40;83;0;10159;86
240;20230106;18;40;88;0;10156;89
240;20230106;19;40;92;0;10154;93
240;20230106;20;40;97;0;10149;96
240;20230106;21;60;108;0;10149;96
240;20230106;22;60;110;0;10146;97
240;20230106;23;70;111;0;10146;96
240;20230106;24;70;111;0;10141;95
240;20230107;1;70;110;0;10137;92
240;20230107;2;70;104;0;10133;91
240;20230107;3;70;106;0;10132;91
240;20230107;4;60;102;0;10125;90
240;20230107;5;60;100;0;10119;91
240;20230107;6;70;98;0;10114;94
240;20230107;7;70;94;0;10108;92
240;20230107;8;70;96;0;10104;90
240;20230107;9;70;100;5;10099;83
240;20230107;10;80;102;17;10092;80
240;20230107;11;80;110;58;10080;74
240;20230107;12;100;109;59;10069;75
240;20230107;13;90;107;41;10056;73
240;20230107;14;90;106;40;10044;74
240;20230107;15;80;108;13;10040;74
240;20230107;16;90;103;3;10033;77
240;20230107;17;80;98;0;10032;81
240;20230107;18;90;90;0;10027;91
240;20230107;19;80;93;0;10023;88
240;20230107;20;80;98;0;10017;85
240;20230107;21;90;100;0;10013;87
240;20230107;22;100;102;0;10012;84
240;20230107;23;100;100;0;10014;83
240;20230107;24;80;92;0;10015;80
240;20230108;1;70;88;0;10010;84
240;20230108;2;60;85;0;10009;88
240;20230108;3;50;84;0;10007;89
240;20230108;4;60;84;0;10005;84
240;20230108;5;50;76;0;10003;85
240;20230108;6;50;75;0;10002;86
240;20230108;7;50;69;0;10000;87
240;20230108;8;60;66;0;9998;88
240;20230108;9;70;69;15;9995;87
240;20230108;10;70;78;49;9993;84
240;20230108;11;70;89;63;9988;82
240;20230108;12;80;95;72;9981;78
240;20230108;13;90;93;58;9975;76
240;20230108;14;80;93;57;9967;76
240;20230108;15;70;90;26;9962;77
240;20230108;16;70;80;5;9956;79
240;20230108;17;50;80;0;9954;80
240;20230108;18;70;85;0;9943;78
240;20230108;19;70;78;0;9935;82
240;20230108;20;70;79;0;9927;81
240;20230108;21;70;77;0;9921;82
240;20230108;22;70;74;0;9919;87
240;20230108;23;60;79;0;9919;88
240;20230108;24;60;69;0;9924;88
240;20230109;1;60;63;0;9923;89
240;20230109;2;60;57;0;9926;92
240;20230109;3;50;60;0;9925;92
240;20230109;4;60;57;0;9925;92
240;20230109;5;60;55;0;9924;94
240;20230109;6;60;57;0;9923;94
240;20230109;7;50;60;0;9921;96
240;20230109;8;30;65;1;9927;97
240;20230109;9;40;73;8;9942;92
240;20230109;10;60;83;16;9954;88
240;20230109;11;70;83;31;9966;84
240;20230109;12;70;85;45;9973;87
240;20230109;13;80;82;35;9980;83
240;20230109;14;70;84;30;9988;82
240;20230109;15;70;82;29;10002;84
240;20230109;16;60;80;3;10014;84
240;20230109;17;60;72;0;10025;87
240;20230109;18;60;75;0;10036;86
240;20230109;19;80;75;0;10051;83
240;20230109;20;80;74;0;10063;82
240;20230109;21;70;72;0;10076;79
240;20230109;22;60;64;0;10083;81
240;20230109;23;50;72;0;10096;78
240;20230109;24;60;76;0;10106;79
240;20230110;1;60;75;0;10114;83
240;20230110;2;60;79;0;10120;81
240;20230110;3;70;73;0;10125;87
240;20230110;4;60;75;0;10131;84
240;20230110;5;60;75;0;10137;83
240;20230110;6;50;70;0;10145;88
240;20230110;7;50;69;0;10150;89
240;20230110;8;50;64;2;10157;89
240;20230110;9;50;60;11;10157;92
240;20230110;10;60;57;18;10155;92
240;20230110;11;70;57;23;10150;89
240;20230110;12;70;60;24;10141;87
240;20230110;13;70;61;18;10131;89
240;20230110;14;70;65;15;10120;90
240;20230110;15;90;63;4;10103;93
240;20230110;16;110;63;1;10090;95
240;20230110;17;110;64;0;10081;96
240;20230110;18;110;72;0;10070;97
240;20230110;19;100;83;0;10066;95
240;20230110;20;100;89;0;10062;93
240;20230110;21;90;92;0;10055;96
240;20230110;22;100;100;0;10047;95
240;20230110;23;100;104;0;10040;96
240;20230110;24;100;107;0;10036;97
240;20230111;1;100;110;0;10036;97
240;20230111;2;100;115;0;10039;95
240;20230111;3;110;119;0;10041;91
240;20230111;4;90;116;0;10047;92
240;20230111;5;90;110;0;10054;89
240;20230111;6;80;102;0;10060;88
240;20230111;7;80;97;0;10068;88
240;20230111;8;70;92;0;10077;88
240;20230111;9;60;90;12;10084;86
240;20230111;10;60;97;50;10088;81
240;20230111;11;80;101;64;10091;83
240;20230111;12;100;100;63;10092;77
240;20230111;13;100;99;68;10094;77
240;20230111;14;100;98;68;10091;74
240;20230111;15;100;95;33;10090;75
240;20230111;16;90;93;5;10090;79
240;20230111;17;100;94;0;10089;79
240;20230111;18;110;98;0;10085;80
240;20230111;19;110;86;0;10075;91
240;20230111;20;110;89;0;10071;86
240;20230111;21;110;91;0;10074;85
240;20230111;22;90;94;0;10070;84
240;20230111;23;100;95;0;10074;82
240;20230111;24;90;94;0;10071;86
240;20230112;1;90;92;0;10063;92
240;20230112;2;90;97;0;10054;93
240;20230112;3;110;99;0;10042;88
240;20230112;4;110;92;0;10014;94
240;20230112;5;120;91;0;10009;96
240;20230112;6;130;107;0;10009;92
240;20230112;7;140;112;0;10008;90
240;20230112;8;140;115;0;10016;88
240;20230112;9;130;118;5;10022;86
240;20230112;10;130;119;17;10029;87
240;20230112;11;120;114;19;10036;91
240;20230112;12;120;118;17;10030;88
240;20230112;13;120;113;12;10024;94
240;20230112;14;120;113;9;10020;93
240;20230112;15;120;112;4;10016;94
240;20230112;16;130;112;1;10015;93
